Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
2023-05-05,ECU,GLORIA C,2023-01-16T11:00:00Z,2023-05-05T22:00:00Z,FISHING,FISHING,735023497,7325174,HC2603,2021-03-27T17:14:51Z,2024-10-08T07:49:53Z,3.42
2023-07-11,COL,EL DORADO,2023-07-11T12:00:00Z,2023-07-11T12:00:00Z,TUNA_PURSE_SEINES,FISHING,730153531,,HKJR,2020-11-17T19:38:15Z,2024-11-12T23:58:49Z,0.21
2023-10-14,ECU,VICTORIA DEL MAR,2023-01-04T11:00:00Z,2023-10-20T05:00:00Z,INCONCLUSIVE,FISHING,735058810,,HC-5159,2020-11-27T08:24:10Z,2024-11-09T02:47:12Z,23.99
2023-10-20,ECU,VICTORIA DEL MAR,2023-01-04T11:00:00Z,2023-10-20T05:00:00Z,INCONCLUSIVE,FISHING,735058810,,HC-5159,2020-11-27T08:24:10Z,2024-11-09T02:47:12Z,4.27
2023-10-13,ECU,REY DE ARCA,2023-10-13T15:00:00Z,2023-12-19T21:00:00Z,DRIFTING_LONGLINES,FISHING,735058725,,HC4440,2023-10-06T04:35:05Z,2024-11-12T20:02:10Z,2.72
2023-10-17,ECU,OSIRIS,2023-02-18T13:00:00Z,2023-11-07T06:00:00Z,FISHING,FISHING,735059862,,HC6294,2022-09-05T23:19:18Z,2023-11-08T23:00:43Z,2.00
2023-11-18,ECU,GRINGA JACKY,2023-10-18T18:00:00Z,2023-12-28T16:00:00Z,FISHING,FISHING,735059445,,HC-5897,2023-08-20T04:07:54Z,2024-11-09T22:16:13Z,0.66
2023-11-07,ECU,BP/EMILIO,2023-10-30T11:00:00Z,2023-11-12T23:00:00Z,FISHING,FISHING,735059291,7235628,HC5593,2022-02-02T19:58:46Z,2024-11-12T23:55:45Z,2.25
2023-11-01,ECU,MIRY ANN D,2023-09-17T09:00:00Z,2023-11-01T12:00:00Z,TUNA_PURSE_SEINES,FISHING,735057639,7048130,HC-4609,2023-07-03T17:06:46Z,2024-11-12T23:58:25Z,11.62
2023-12-31,ECU,SAN ANTONIO 1,2023-08-02T14:00:00Z,2023-12-31T00:00:00Z,DRIFTING_LONGLINES,FISHING,735060242,,HC6568,2023-07-28T00:55:47Z,2024-10-28T04:09:13Z,1.14
2023-01-17,ECU,EASTERN PACIFIC,2023-01-01T00:00:00Z,2023-02-22T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735058843,,HC-5181,2018-01-05T19:44:03Z,2023-09-14T11:26:56Z,0.34
2023-02-07,VEN,CANAIMA,2023-02-07T23:00:00Z,2023-11-10T15:00:00Z,TUNA_PURSE_SEINES,FISHING,775068000,7123485,YYEM,2020-12-30T20:36:14Z,2024-05-01T15:24:35Z,0.72
2023-06-08,ECU,DONA NANCY,2023-05-16T14:00:00Z,2023-07-17T04:00:00Z,TUNA_PURSE_SEINES,FISHING,735057661,8354483,HC-2470,2022-05-06T19:02:04Z,2024-11-10T20:02:43Z,1.37
2023-06-29,ECU,AIDEE,2023-04-06T15:00:00Z,2023-11-24T05:00:00Z,TUNA_PURSE_SEINES,FISHING,735059463,,HC5568,2017-05-02T15:24:35Z,2024-11-12T23:58:24Z,4.33
2023-09-26,ECU,ADRIANA,2023-01-02T03:00:00Z,2023-10-20T07:00:00Z,TUNA_PURSE_SEINES,FISHING,735058904,,HC5234,2020-08-18T16:47:34Z,2024-10-31T02:13:35Z,1.50
2023-08-23,ESP,PLAYA MUINO VELLO,2023-08-22T22:00:00Z,2023-08-24T20:00:00Z,DRIFTING_LONGLINES,FISHING,224992000,9297632,ECBQ,2015-05-29T23:41:39Z,2024-10-27T00:41:05Z,3.82
