Lat,Lon,Time Range,flag,Vessel IDs,Apparent Fishing Hours
-0.600000,-91.090000,2023-10-31,ECU,1,3.10
-0.780000,-89.490000,2023-10-06,ECU,1,1.33
-1.400000,-89.620000,2023-10-18,ECU,1,0.83
-0.940000,-90.880000,2023-10-25,ECU,1,0.67
-0.710000,-93.260000,2023-11-02,ECU,1,0.75
-2.260000,-86.860000,2023-11-24,ECU,1,1.07
-2.820000,-94.050000,2023-11-18,ECU,1,1.26
-0.990000,-93.890000,2023-11-01,ECU,1,1.22
-0.890000,-94.130000,2023-11-14,ECU,1,0.44
-1.320000,-93.930000,2023-11-14,ECU,1,0.09
-0.910000,-93.380000,2023-11-15,ECU,1,0.86
-1.260000,-93.170000,2023-11-14,ECU,1,0.74
-1.030000,-94.440000,2023-11-12,ECU,1,1.02
-0.970000,-94.870000,2023-11-07,ECU,1,1.00
-0.930000,-94.250000,2023-11-12,ECU,1,0.33
-0.430000,-94.340000,2023-11-11,ECU,1,0.78
-4.110000,-90.880000,2023-11-02,ECU,1,1.50
-2.820000,-91.440000,2023-11-23,ECU,1,0.67
-2.760000,-92.300000,2023-11-24,ECU,1,1.11
-1.420000,-94.260000,2023-11-11,ECU,1,0.92
-1.490000,-93.810000,2023-11-15,ECU,1,1.05
-1.890000,-92.980000,2023-11-25,ECU,1,1.73
-2.130000,-93.180000,2023-11-25,ECU,1,0.95
-2.060000,-87.690000,2023-11-22,ECU,1,0.31
-2.090000,-93.440000,2023-11-08,ECU,1,1.02
-2.070000,-92.970000,2023-11-07,ECU,1,2.10
-0.780000,-89.520000,2023-11-22,ECU,2,4.11
-0.780000,-89.520000,2023-11-03,ECU,2,2.92
-0.990000,-89.570000,2023-11-06,ECU,1,1.17
-0.130000,-91.190000,2023-11-24,ECU,1,1.00
-0.540000,-90.850000,2023-11-11,ECU,1,0.81
-1.330000,-89.630000,2023-11-10,ECU,1,0.67
-0.590000,-90.760000,2023-11-28,ECU,1,2.17
-0.390000,-90.520000,2023-11-14,ECU,1,1.25
-0.390000,-90.550000,2023-11-16,ECU,1,1.00
-1.230000,-90.360000,2023-11-09,ECU,1,0.92
-2.210000,-89.500000,2023-11-11,ECU,1,1.02
-0.420000,-90.720000,2023-11-04,ECU,1,0.17
-0.650000,-90.850000,2023-11-14,ECU,1,0.20
-0.550000,-90.750000,2023-11-22,ECU,1,0.90
-0.940000,-89.610000,2023-11-24,ECU,1,0.67
-0.640000,-94.580000,2023-11-03,ECU,1,0.99
-0.340000,-92.510000,2023-11-12,PAN,1,0.28
-2.230000,-92.560000,2023-11-23,PAN,1,1.84
-2.320000,-92.600000,2023-11-23,PAN,1,0.82
3.320000,-90.610000,2023-12-29,ECU,1,3.32
-0.780000,-89.520000,2023-12-31,ECU,2,3.75
-3.280000,-92.790000,2023-12-20,ECU,1,1.11
-3.310000,-92.930000,2023-12-19,ECU,1,0.64
-1.000000,-94.350000,2023-12-08,ECU,1,0.94
-1.320000,-94.240000,2023-12-13,ECU,1,1.15
-1.000000,-94.330000,2023-12-06,ECU,1,1.21
-1.110000,-94.250000,2023-12-04,ECU,1,1.27
-1.040000,-91.140000,2023-12-08,ECU,1,1.25
-0.980000,-90.880000,2023-12-22,ECU,1,0.25
-0.310000,-90.860000,2023-12-26,ECU,1,0.67
-1.000000,-91.050000,2023-12-02,ECU,1,0.92
-1.020000,-91.300000,2023-12-09,ECU,1,0.83
-0.900000,-89.390000,2023-12-31,ECU,1,0.50
-0.940000,-89.460000,2023-12-23,ECU,1,0.67
-0.390000,-90.560000,2023-12-19,ECU,1,0.33
-0.850000,-90.750000,2023-12-06,ECU,1,1.42
-1.220000,-94.690000,2023-12-14,ECU,1,1.99
-0.400000,-90.360000,2023-12-05,ECU,1,0.83
-1.730000,-92.670000,2023-12-28,ECU,1,2.05
-2.920000,-91.720000,2023-12-26,ECU,1,0.45
-1.470000,-94.450000,2023-12-07,ECU,1,1.18
-3.070000,-93.500000,2023-12-07,ECU,1,2.24
-0.940000,-94.890000,2023-12-14,ECU,1,1.56
-2.330000,-93.340000,2023-12-16,ECU,1,0.20
-2.680000,-90.190000,2023-12-19,ECU,1,0.29
-2.660000,-91.140000,2023-12-21,ECU,1,0.21
-2.660000,-91.130000,2023-12-21,ECU,1,0.10
-1.940000,-91.070000,2023-12-03,VEN,1,0.23
4.930000,-91.900000,2023-02-13,ECU,1,2.03
0.850000,-93.130000,2023-02-02,ECU,1,1.05
3.990000,-90.000000,2023-02-07,VEN,1,0.72
2.920000,-94.050000,2023-02-18,ECU,1,0.80
3.570000,-91.130000,2023-02-23,ECU,1,0.88
3.850000,-93.630000,2023-02-08,ECU,1,2.98
3.900000,-90.210000,2023-02-15,ECU,1,2.03
2.830000,-92.730000,2023-02-17,ECU,1,1.12
0.310000,-90.370000,2023-02-27,ECU,1,0.25
0.270000,-94.210000,2023-01-28,ECU,1,1.91
0.300000,-93.890000,2023-01-21,ECU,1,1.19
0.850000,-95.090000,2023-01-15,ECU,1,0.85
0.810000,-94.970000,2023-01-15,ECU,1,1.01
3.960000,-93.150000,2023-01-28,ECU,1,1.28
4.000000,-92.710000,2023-01-31,ECU,2,2.39
3.990000,-93.220000,2023-01-28,ECU,1,1.61
